timestamp_s,power_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_used_mib,temp_c
.027098206,14.99,0,0,195,2,40
.555224230,15.11,0,0,195,2,40
1.079800741,16.18,0,0,195,508,40
1.603378688,40.79,0,0,2557,508,41
2.127242116,51.76,0,0,2542,508,41
2.651431691,78.61,0,0,2572,594,41
3.175847286,78.80,0,0,2542,594,41
3.699851359,78.28,0,0,2542,594,41
4.223850883,78.06,0,0,2542,594,41
4.747622805,77.96,0,0,2542,594,41
5.270596833,77.98,0,0,2542,594,41
5.795183059,78.01,0,0,2542,594,41
6.318464479,78.10,0,0,2542,594,41
6.841197259,78.22,0,0,2542,594,41
7.363942751,78.23,0,0,2542,594,41
7.888225550,78.16,0,0,2542,594,41
8.411589645,78.05,0,0,2542,594,42
8.934824144,78.18,0,0,2542,594,42
9.457910672,78.27,0,0,2542,594,42
9.981357784,78.28,0,0,2542,594,42
10.505443997,78.45,0,0,2542,592,42
11.029013981,78.78,0,0,2542,592,42
11.552432426,78.74,0,0,2542,592,42
12.076848303,78.38,0,0,2542,592,42
12.601311590,78.54,0,0,2542,592,42
13.125729490,80.17,4,0,2572,592,42
13.648879425,81.02,4,0,2580,594,42
14.171532046,79.79,0,0,2542,594,42
14.694863294,78.48,0,0,2542,594,42
15.218621962,78.66,0,0,2550,628,42
15.741219357,80.41,0,0,2580,628,42
16.264594848,81.10,0,0,2587,596,42
16.788589251,85.43,0,0,2932,596,42
17.312538750,92.00,2,0,2842,596,42
17.836621260,93.92,2,0,2932,596,42
18.361357059,91.86,2,0,2542,596,42
18.884383865,91.92,2,0,2917,596,43
19.407881365,95.72,0,0,2850,596,42
19.931447173,85.11,0,0,2542,596,42
20.455031897,78.62,0,0,2542,596,42
20.979194937,78.63,0,0,2542,596,42
21.503032710,78.74,0,0,2542,596,42
22.027251706,78.68,0,0,2542,596,42
22.551542447,78.48,0,0,2542,596,42
23.075072725,78.37,0,0,2542,596,42
23.620890514,78.34,0,0,2542,596,42
24.149610445,78.34,0,0,2542,596,42
24.673038147,78.30,0,0,2542,596,42
25.197187749,78.38,0,0,2542,596,42
25.721626598,78.42,0,0,2542,756,42
26.245812057,79.85,0,0,2617,788,42
26.769566778,79.84,0,0,2542,788,42
27.292928353,78.53,0,0,2542,820,42
27.816596158,78.36,0,0,2542,820,42
28.341449662,78.39,0,0,2542,852,42
28.866324877,78.56,0,0,2550,884,42
29.390299983,78.35,0,0,2542,884,42
