timestamp_s,power_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_used_mib,temp_c
.027779726,28.37,0,0,285,2,43
.583561186,23.49,0,0,195,2,43
1.115119400,23.49,0,0,195,508,43
1.639314036,43.83,0,0,2542,508,44
2.162937820,56.39,0,0,2542,562,44
2.686864047,84.61,0,0,2572,594,44
3.210612136,84.92,0,0,2542,594,44
3.734090163,84.14,0,0,2542,594,44
4.258461262,83.43,0,0,2542,594,44
4.782380005,82.74,0,0,2542,594,44
5.306339744,82.46,0,0,2542,594,44
5.830439659,82.17,0,0,2542,594,44
6.354170965,82.03,0,0,2542,594,44
6.878049771,82.33,0,0,2542,594,44
7.401946480,82.35,0,0,2542,594,44
7.926077383,82.47,0,0,2542,594,44
8.450064343,82.73,0,0,2542,594,44
8.973802912,83.07,0,0,2542,594,44
9.497885243,83.12,0,0,2542,594,44
10.021195630,83.06,0,0,2542,594,44
10.544297551,83.09,0,0,2542,592,44
11.068165715,83.50,0,0,2542,592,44
11.591981119,83.42,0,0,2542,592,44
12.115582587,82.93,0,0,2542,592,44
12.638759901,82.65,0,0,2542,592,44
13.162487377,82.84,2,0,2572,592,44
13.685982743,84.75,2,0,2602,594,44
14.208665930,84.50,0,0,2542,594,44
14.732822570,82.13,0,0,2542,594,44
15.257567494,82.14,0,0,2550,628,44
15.781734242,83.41,0,0,2587,628,44
16.305432522,85.79,1,0,2595,596,44
16.829000655,89.32,1,0,2887,596,44
17.353159618,91.42,2,0,2730,596,44
17.876978707,99.54,0,0,2542,596,44
18.401091572,96.45,0,0,2917,596,44
18.925975388,100.34,2,0,2895,596,44
19.450321535,96.83,2,0,2542,596,44
19.974242456,85.82,0,0,2542,596,44
20.498437666,81.51,0,0,2542,596,44
21.021686482,81.64,0,0,2542,596,44
21.544642534,82.06,0,0,2542,596,44
22.068863192,82.24,0,0,2542,596,43
22.591831626,82.19,0,0,2542,596,43
23.115405238,82.36,0,0,2542,1099,43
23.641937086,83.46,0,0,2542,1099,43
24.206725319,83.72,0,0,2542,1215,43
24.735271676,83.74,0,0,2550,2811,43
25.258145350,93.86,73,0,2872,2811,45
25.780729404,113.37,73,0,2925,2811,45
26.303902505,123.98,96,0,2925,2971,45
26.827007587,124.44,96,0,2925,3003,45
27.349643991,124.02,97,0,2925,3003,45
27.872600430,122.92,96,0,2925,3035,45
28.396011562,119.14,96,0,2925,3035,44
28.920639219,107.81,0,0,2925,3067,44
29.444633937,100.48,0,0,2925,3067,44
29.967504653,109.94,91,0,2925,3099,45
30.490698973,122.21,91,0,2925,3099,45
31.014084245,123.08,96,0,2925,3099,45
31.537316386,123.09,96,0,2925,3099,45
32.061052221,123.35,96,0,2925,3131,45
32.583773644,123.71,96,0,2925,3131,45
33.106556583,123.70,96,0,2925,3131,45
33.629666081,116.46,96,0,2925,3131,44
34.153390414,107.17,0,0,2925,3131,44
34.676939756,105.87,0,0,2925,3131,45
35.199615180,116.97,70,0,2925,3131,45
35.723867424,122.96,70,0,2925,3555,45
36.247144849,123.64,85,0,2925,3651,45
36.770298690,123.65,85,0,2925,3651,45
37.295489672,122.84,82,0,2925,3651,45
37.818824847,122.22,82,0,2925,3651,45
38.342413070,122.49,82,0,2925,3747,45
38.865884923,122.22,82,0,2925,4165,44
39.390784893,107.53,0,0,2925,1970,44
39.915011687,106.06,2,0,2925,2546,44
40.439054101,107.12,2,0,2602,3572,44
40.962256823,100.53,1,0,2557,3586,43
41.485988147,90.82,1,0,2610,3606,45
42.010868278,110.99,50,5,2925,3606,46
42.536033460,147.24,50,5,2925,6188,47
43.061046763,220.25,67,34,2887,6190,48
43.585954616,220.77,67,34,2925,6190,46
44.110604170,179.25,60,14,2910,6192,50
44.636309515,230.88,60,14,2925,6192,47
45.162655654,226.46,54,5,2925,6192,47
45.686422975,226.11,54,5,2887,6192,48
46.211047430,231.72,55,5,2925,6192,47
46.735867796,179.85,55,5,2917,6192,50
47.260852374,226.88,54,5,2925,6192,48
47.785027858,227.38,54,5,2925,6192,47
48.310810748,233.00,74,42,2887,6192,49
48.839055725,233.32,74,42,2925,6192,47
49.364350920,179.73,49,4,2917,6192,50
49.889662106,227.52,50,5,2925,6192,48
50.413987763,231.65,50,5,2887,6192,49
50.938954917,231.33,49,4,2925,6192,48
51.466422299,196.73,49,4,2917,6192,50
51.992006682,231.29,52,5,2925,6192,48
52.517224700,231.58,52,5,2925,6192,47
53.042823941,227.00,83,51,2880,6192,50
53.568173268,231.41,83,51,2925,6192,47
54.093452020,199.38,57,5,2917,6192,50
54.618116739,232.32,57,5,2925,6192,48
55.146114115,228.05,54,5,2925,6192,47
55.671816561,226.13,54,5,2880,6192,49
56.196682430,232.86,57,6,2925,6192,48
56.721621097,181.24,57,6,2925,6192,50
57.246115773,228.59,56,5,2925,6192,48
57.773620624,232.03,56,5,2925,6192,48
58.299127899,223.67,86,54,2880,6192,49
58.823373171,224.49,86,54,2925,6192,48
59.347506061,204.76,48,4,2925,6192,48
59.884086514,231.82,54,5,2925,6192,48
60.427469380,204.26,54,5,2895,6209,53
60.952544705,226.55,51,5,2925,6695,48
61.479144299,223.90,51,5,2925,6811,48
62.002435492,232.19,59,6,2902,8407,49
62.525155152,219.65,59,6,2925,8407,47
63.047862157,149.11,97,2,2925,8407,47
63.570921059,135.63,97,2,2925,8407,47
64.093924065,131.17,99,0,2925,8407,46
64.616763942,131.71,99,0,2925,8407,47
65.140148431,131.69,99,0,2925,8407,46
65.662526762,131.30,99,0,2925,8407,46
66.186000790,129.22,99,1,2925,8407,47
66.711674728,152.09,99,1,2910,8407,51
67.234979144,230.57,55,5,2925,8407,49
67.758581124,220.72,55,5,2925,8407,47
68.281284251,150.30,97,0,2925,8407,47
68.803539899,135.05,97,0,2925,8407,47
69.326861227,132.20,99,1,2925,8407,47
69.849515650,130.86,99,1,2925,8407,46
70.373336073,133.45,99,0,2925,8407,46
70.896117517,132.77,99,1,2925,8407,47
71.423326152,142.36,99,1,2917,8407,51
71.948511493,212.84,51,5,2925,8407,48
72.472062605,227.30,51,5,2925,8407,48
72.995840577,168.70,96,3,2925,8407,48
73.520850414,161.50,96,3,2925,8407,49
