timestamp_s,power_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_used_mib,temp_c
.025216853,15.23,0,0,195,2,41
.570231138,15.23,0,0,195,2,41
1.104611592,15.40,0,0,195,508,41
1.628532715,30.32,0,0,2542,508,42
2.153442152,69.48,0,0,2542,562,42
2.678160215,79.55,0,0,2572,594,42
3.202298519,79.50,0,0,2542,594,42
3.726140749,79.38,0,0,2542,594,42
4.250388468,78.99,0,0,2542,594,42
4.774033764,79.16,0,0,2542,594,42
5.297853981,79.12,0,0,2542,594,42
5.821207442,79.11,0,0,2542,594,42
6.344340835,79.17,0,0,2542,594,42
6.867944679,79.08,0,0,2542,594,42
7.391023657,79.17,0,0,2542,594,42
7.915092032,79.13,0,0,2542,594,42
8.438974202,78.96,0,0,2542,594,42
8.962178356,79.01,0,0,2542,594,42
9.485825539,78.96,0,0,2542,594,42
10.009765597,78.93,0,0,2542,594,42
10.532840023,79.00,0,0,2542,594,42
11.057817437,79.00,0,0,2542,592,42
11.582279243,79.07,0,0,2542,592,42
12.106106164,79.11,0,0,2542,592,43
12.630144055,78.90,0,0,2542,592,43
13.154144744,78.89,0,0,2542,592,43
13.676698027,79.93,4,0,2572,592,43
14.199725960,81.02,4,0,2542,592,43
14.722800901,80.90,0,0,2542,592,43
15.249505788,79.61,0,0,2542,626,43
15.773131763,81.78,1,0,2542,626,43
16.296522952,86.52,0,0,2640,594,43
16.820303579,91.87,0,0,2932,594,43
17.344232437,97.05,1,0,2805,594,43
17.867982776,93.31,1,0,2805,594,43
18.392610929,92.86,2,0,2925,594,43
18.916733993,97.51,2,0,2580,594,43
19.440233914,86.68,0,0,2542,594,43
19.964184029,79.70,0,0,2542,594,43
20.488572194,79.61,0,0,2542,594,43
21.013290946,79.41,0,0,2542,594,43
21.537857759,79.25,0,0,2542,594,43
22.061897451,79.12,0,0,2542,594,43
22.585565838,79.05,0,0,2542,594,43
23.124596384,79.00,0,0,2542,594,43
23.697124118,79.02,0,0,2542,594,43
24.226120990,79.18,0,0,2542,594,43
24.750111856,79.25,0,0,2542,594,43
25.273911920,79.49,0,0,2557,626,43
25.796968363,80.49,0,0,2542,722,43
26.320717799,80.50,0,0,2542,722,43
26.844278026,79.29,0,0,2542,722,43
27.367553773,79.22,0,0,2542,722,43
27.891960554,79.40,0,0,2542,754,43
28.416702190,79.53,0,0,2550,786,43
28.939641687,79.26,0,0,2542,786,43
29.462968217,79.27,0,0,2542,786,43
29.987304432,79.30,0,0,2542,786,43
30.511679089,79.17,0,0,2542,818,43
31.036452372,79.21,0,0,2550,818,43
31.560872624,79.24,0,0,2542,818,43
32.084883620,79.30,0,0,2542,818,43
